id_municipio,uf,municipio,longitude,latitude,file_name
295,BA,Central,-42.111625,-11.137576,central_ba.png
296,BA,Chorrochó,-39.097942,-8.969498,chorrocho_ba.png
298,BA,Cipó,-38.517942,-11.103172,cipo_ba.png
299,BA,Coaraci,-39.555609,-14.636996,coaraci_ba.png
300,BA,Cocos,-44.53522,-14.18136,cocos_ba.png
301,BA,Conceição da Feira,-38.997823,-12.507835,conceicao_da_feira_ba.png
302,BA,Conceição do Almeida,-39.171466,-12.783579,conceicao_do_almeida_ba.png
303,BA,Conceição do Coité,-39.280827,-11.559953,conceicao_do_coite_ba.png
304,BA,Conceição do Jacuípe,-38.768433,-12.326831,conceicao_do_jacuipe_ba.png
305,BA,Conde,-37.613094,-11.817937,conde_ba.png
306,BA,Condeúba,-41.971829,-14.902227,condeuba_ba.png
307,BA,Contendas do Sincorá,-41.047953,-13.75369,contendas_do_sincora_ba.png
308,BA,Coração de Maria,-38.748654,-12.233332,coracao_de_maria_ba.png
309,BA,Cordeiros,-41.930796,-15.035641,cordeiros_ba.png
310,BA,Coribe,-44.458593,-13.823216,coribe_ba.png
311,BA,Coronel João Sá,-37.919825,-10.2847,coronel_joao_sa_ba.png
312,BA,Correntina,-44.633335,-13.347674,correntina_ba.png
313,BA,Cotegipe,-44.256559,-12.022761,cotegipe_ba.png
314,BA,Cravolândia,-39.803083,-13.353063,cravolandia_ba.png
316,BA,Cristópolis,-44.421358,-12.224899,cristopolis_ba.png
315,BA,Crisópolis,-38.15148,-11.505929,crisopolis_ba.png
317,BA,Cruz das Almas,-39.100787,-12.667516,cruz_das_almas_ba.png
318,BA,Curaçá,-39.899671,-8.984577,curaca_ba.png
281,BA,Cândido Sales,-41.241438,-15.499309,candido_sales_ba.png
297,BA,Cícero Dantas,-38.379377,-10.589664,cicero_dantas_ba.png
320,BA,Dias d`Ávila,-38.292645,-12.61875,dias_d`avila_ba.png
321,BA,Dom Basílio,-41.767663,-13.756499,dom_basilio_ba.png
322,BA,Dom Macedo Costa,-39.192259,-12.901582,dom_macedo_costa_ba.png
319,BA,Dário Meira,-39.903129,-14.4229,dario_meira_ba.png
323,BA,Elísio Medrado,-39.519087,-12.941743,elisio_medrado_ba.png
324,BA,Encruzilhada,-40.912432,-15.530168,encruzilhada_ba.png
325,BA,Entre Rios,-38.087125,-11.939164,entre_rios_ba.png
327,BA,Esplanada,-37.943216,-11.794215,esplanada_ba.png
328,BA,Euclides da Cunha,-39.015286,-10.507754,euclides_da_cunha_ba.png
329,BA,Eunápolis,-39.582122,-16.371498,eunapolis_ba.png
331,BA,Feira da Mata,-44.274424,-14.204405,feira_da_mata_ba.png
332,BA,Feira de Santana,-38.966293,-12.266429,feira_de_santana_ba.png
333,BA,Filadélfia,-40.14371,-10.740475,filadelfia_ba.png
334,BA,Firmino Alves,-39.926859,-14.982334,firmino_alves_ba.png
335,BA,Floresta Azul,-39.657877,-14.862934,floresta_azul_ba.png
336,BA,Formosa do Rio Preto,-45.19298,-11.032812,formosa_do_rio_preto_ba.png
330,BA,Fátima,-38.223891,-10.616013,fatima_ba.png
337,BA,Gandu,-39.474651,-13.744101,gandu_ba.png
338,BA,Gavião,-39.775751,-11.468796,gaviao_ba.png
339,BA,Gentio do Ouro,-42.507652,-11.434233,gentio_do_ouro_ba.png
340,BA,Glória,-38.254397,-9.343822,gloria_ba.png
341,BA,Gongogi,-39.46899,-14.319481,gongogi_ba.png
343,BA,Governador Mangabeira,-39.041207,-12.599415,governador_mangabeira_ba.png
344,BA,Guajeru,-41.938064,-14.54668,guajeru_ba.png
345,BA,Guanambi,-42.779943,-14.223066,guanambi_ba.png
346,BA,Guaratinga,-39.784713,-16.583276,guaratinga_ba.png
347,BA,Heliópolis,-38.290664,-10.682539,heliopolis_ba.png
348,BA,Iaçu,-40.205609,-12.766637,iacu_ba.png
349,BA,Ibiassucê,-42.257026,-14.271126,ibiassuce_ba.png
350,BA,Ibicaraí,-39.591434,-14.857877,ibicarai_ba.png
351,BA,Ibicoara,-41.283989,-13.405918,ibicoara_ba.png
352,BA,Ibicuí,-39.987915,-14.84496,ibicui_ba.png
353,BA,Ibipeba,-42.019515,-11.643775,ibipeba_ba.png
354,BA,Ibipitanga,-42.485568,-12.880435,ibipitanga_ba.png
355,BA,Ibiquera,-40.933774,-12.644354,ibiquera_ba.png
356,BA,Ibirapitanga,-39.378737,-14.164898,ibirapitanga_ba.png
357,BA,Ibirapuã,-40.112907,-17.683151,ibirapua_ba.png
358,BA,Ibirataia,-39.645935,-14.064316,ibirataia_ba.png
359,BA,Ibitiara,-42.217946,-12.650181,ibitiara_ba.png
360,BA,Ibititá,-41.97481,-11.541426,ibitita_ba.png
361,BA,Ibotirama,-43.21669,-12.177876,ibotirama_ba.png
362,BA,Ichu,-39.190523,-11.743065,ichu_ba.png
363,BA,Igaporã,-42.715508,-13.774025,igapora_ba.png
364,BA,Igrapiúna,-39.136129,-13.829543,igrapiuna_ba.png
365,BA,Iguaí,-40.089417,-14.752754,iguai_ba.png
